Title,Release Date,Developer,Publisher,Genres,Product Rating,User Score,User Ratings Count
Crazy Taxi (1999),11/24/2010,Hitmaker,Sega,Auto Racing,Rated E +10 For Everyone +10,7.3,30
Commanders: Attack,2/13/2008,Southend Interactive,Sierra Online,Turn-Based Tactics,Rated E +10 For Everyone +10,8,5
Nostradamus: The Last Prophecy,9/30/2007,Kheops Studio,MC2 Entertainment,Adventure,Rated E +10 For Everyone +10,6.4,11
Avatar: Frontiers of Pandora,12/7/2023,Massive Entertainment,Ubisoft,Open-World Action,Rated T For Teen,7.7,599
Biomutant,5/25/2021,Experiment 101,THQ Nordic,Action RPG,Rated T For Teen,6.3,508
Killzone: Liberation,10/31/2006,Guerrilla,SCEA,Top-Down Shoot-'Em-Up,Rated T For Teen,7.9,112
Undertow,11/21/2007,Chair Entertainment,Chair Entertainment,Horizontal Shoot-'Em-Up,Rated E +10 For Everyone +10,5.5,11
New Tales from the Borderlands,10/21/2022,Gearbox Software,2K Games,Adventure,Rated M For Mature,3.8,72
Jeremy McGrath's Offroad,6/27/2012,2XL Games,D3Publisher,Auto Racing Sim,Rated E For Everyone,5.7,10
Shadow of the Beast,5/17/2016,Heavy Spectrum,Sony Interactive Entertainment,Action Adventure,Rated M For Mature,7.3,169
Waking Mars,3/1/2012,Tiger Style,Tiger Style,2D Platformer,,6.7,12
Total War: WARHAMMER III - Forge of the Chaos Dwarfs,4/13/2023,Creative Assembly,Sega,Real-Time Tactics,,6.2,19
1979 Revolution: Black Friday,4/4/2016,iNK Stories,iNK Stories,Adventure,,7.5,85
Two Worlds II,1/25/2011,Reality Pump,SouthPeak Games,Action RPG,Rated M For Mature,6.5,150
Mega Man X: Command Mission,9/21/2004,"Valuewave Co.,Ltd.",Capcom,JRPG,Rated E For Everyone,7.5,36
Square Planet,10/17/2012,Majaka,Majaka,2D Platformer,,,
Command & Conquer: Red Alert 2,10/21/2000,Westwood Studios,Electronic Arts,Command RTS,Rated T For Teen,8.8,508
Valiant Hearts: Coming Home,2/1/2023,Old Skull Games,Netflix,2D Platformer,,6.9,8
Earthfall,7/13/2018,Holospark,Holospark,Tactical FPS,Rated T For Teen,5.7,15
Speed Zone,8/18/2009,Awesome Play Ltd.,Detn8,Future Racing,Rated E For Everyone,5.3,
Floodland,11/15/2022,Vile Monarch,Ravenscourt,Management,,5.3,8
FlatOut: Ultimate Carnage,10/2/2007,Bugbear,Warner Bros. Interactive Entertainment,Auto Racing,Rated T For Teen,8.4,39
Saints Row: The Third Remastered,5/22/2020,Sperasoft,Deep Silver,Open-World Action,Rated M For Mature,7,111
Psychonauts in The Rhombus of Ruin,2/21/2017,Double Fine Productions,Double Fine Productions,Action,Rated E +10 For Everyone +10,7.4,41
Master of Illusion,11/26/2007,Eighting,Nintendo,Application,Rated E For Everyone,,
Nintendogs: Chihuahua & Friends,8/22/2005,Nintendo,Nintendo,Virtual Pet,Rated E For Everyone,5,29
StarCraft 64,6/12/2000,Mass Media,Nintendo,Command RTS,Rated T For Teen,6.8,39
Human Resource Machine,10/15/2015,Tomorrow Corporation,Tomorrow Corporation,Puzzle,,8,48
Cities XL,10/8/2009,Monte Cristo,Focus Home Interactive,Management,Rated E For Everyone,5,31
Rocky and Bullwinkle,4/16/2008,Zen Studios,Microsoft Game Studios,Party,Rated E For Everyone,4.8,5
Mighty Morphin Power Rangers: Mega Battle,1/17/2017,Bamtang,Bandai Namco Games,2D Beat-'Em-Up,Rated E +10 For Everyone +10,7.6,58
EVE Online,5/6/2003,CCP,Simon & Schuster,MMORPG,Rated T For Teen,6.7,307
Assault Suits Valken Declassified,3/30/2023,M2,Rainmaker Productions,Horizontal Shoot-'Em-Up,,,
MotoGP 3,3/17/2003,Namco,Namco,Auto Racing Sim,Rated E For Everyone,8.3,7
Sam & Max Episode 105: Reality 2.0,3/29/2007,Telltale Games,GameTap,Point-and-Click,,7.1,19
Call of Duty: Black Ops,11/9/2010,Treyarch,Activision,Tactical FPS,Rated M For Mature,6.8,1910
Space Miner: Space Ore Bust,2/5/2010,"Venan Entertainment, Inc.","Venan Entertainment, Inc.",RPG,,5.8,5
Pushmo,12/8/2011,Intelligent Systems,Nintendo,Action Puzzle,Rated E For Everyone,8.3,217
1001 Spikes,6/3/2014,Nicalis,Nicalis,2D Platformer,Rated T For Teen,6.5,37
Vanquish,10/19/2010,PlatinumGames,Sega,Third Person Shooter,Rated M For Mature,9.6,1907
Pro Evolution Soccer 2011,10/19/2010,Konami,Konami,Soccer Sim,Rated E For Everyone,6.4,43
Excitebots: Trick Racing,4/20/2009,Monster Games Inc.,Nintendo,Auto Racing,Rated E For Everyone,7.4,16
Dance Dance Revolution Disney Mix,9/18/2001,Konami,Konami,Dancing,Rated E For Everyone,,
Da New Guys: Day of the Jackass,2/29/2012,ICEBOX Studios,Wadjet Eye Games,Point-and-Click,,5.8,8
Septerra Core: Legacy of the Creator,10/31/1999,Valkyrie Studios,Monolith Productions,RPG,Rated T For Teen,7.6,74
Speedball 2 HD,12/5/2013,Vivid Games,Mastertronic,Future Sport,,3.8,21
One Piece: Unlimited Cruise SP,5/26/2011,Bandai Namco Games,Bandai Namco Games,Action,,6.8,18
Marvel: Ultimate Alliance,10/24/2006,Raven Software,Activision,Action RPG,Rated T For Teen,7.9,113
Toy Home,12/20/2007,Game Republic,SCEA,Auto Racing,Rated E For Everyone,4.8,
Laser League,5/10/2018,roll7,505 Games,Future Sport,Rated E +10 For Everyone +10,6.2,34
NightCry,3/29/2016,"NUDE MAKER,Y.K.",Active Gaming Media,Action Adventure,Rated M For Mature,8.4,5
Mystical Ninja starring Goemon,4/16/1998,KCEO,Konami,Open-World Action,Rated E For Everyone,8.5,48
Myth: The Fallen Lords,10/31/1997,Bungie,Bungie,Real-Time Strategy,Rated M For Mature,8.4,101
Quantum Error,11/3/2023,TeamKill Media LLC,TeamKill Media LLC,FPS,Rated M For Mature,3.5,63
Mafia II: Definitive Edition,5/19/2020,Hangar 13,2K Games,Open-World Action,Rated M For Mature,5.9,503
The Red Lantern,10/22/2020,Timberline Studio,Timberline Studio,Survival,Rated T For Teen,5,10
Caveman Warriors,12/5/2017,JanduSoft,JanduSoft,2D Platformer,Rated E +10 For Everyone +10,5.6,7
Final Fantasy V,11/6/2006,TOSE,Nintendo,JRPG,Rated E For Everyone,8.1,84
Sunset Overdrive and the Mystery of the Mooil Rig!,12/23/2014,Insomniac Games,Microsoft Game Studios,Third Person Shooter,Rated M For Mature,7.1,35
From Dust,7/27/2011,Ubisoft Montpellier,Ubisoft,Strategy,Rated E +10 For Everyone +10,7.6,90
Kill Strain,7/12/2016,SCEA San Diego Studios,Sony Interactive Entertainment,Third Person Shooter,Rated T For Teen,7.2,31
Kingdom Under Fire: Heroes,9/20/2005,Phantagram,Microsoft Game Studios,Real-Time Strategy,Rated M For Mature,6.9,18
All Walls Must Fall,8/8/2017,inbetweengames,inbetweengames,Real-Time Tactics,,,
Wanted Corp,12/6/2011,EKO Software,Zoo Entertainment,Top-Down Shoot-'Em-Up,Rated T For Teen,,
Mini Ninjas Adventures,6/29/2012,Side Kick LTD,Square Enix,Action,Rated E +10 For Everyone +10,8,
Jim Henson's Muppets Party Cruise,11/13/2003,Mass Media,TDK Mediactive,Party,Rated E For Everyone,7.8,
Drake of the 99 Dragons,11/3/2003,Idol FX,Majesco,Third Person Shooter,Rated T For Teen,1.8,29
The Outlast Trials,3/5/2024,Red Barrels,Red Barrels,Survival,,,
Before We Leave,5/13/2021,Balancing Monkey Games,Team17,Management,,7.5,37
Sayonara UmiharaKawase +,4/21/2015,Studio Saizensen,Agatsuma Entertainment,2D Platformer,Rated E For Everyone,8.2,13
Dark Void Zero,1/18/2010,Other Ocean Interactive,Capcom,2D Platformer,Rated E For Everyone,5.7,7
Sonic the Hedgehog 2,2/20/2020,M2,Sega,2D Platformer,Rated E For Everyone,8.2,44
Reign of Fire,10/22/2002,Kuju Entertainment,Bam Entertainment,Third Person Shooter,Rated M For Mature,6.8,
IndyCar Series,5/21/2003,Codemasters,Codemasters,Auto Racing Sim,Rated E For Everyone,,
Dance Dance Revolution Extreme,9/21/2004,KCET,Konami,Dancing,Rated E For Everyone,4,
The Lord of the Rings: Return to Moria,10/24/2023,Free Range Games,North Beach Games,Sandbox,Rated T For Teen,7.1,105
Golf: Tee It Up!,7/9/2008,Housemarque,Activision,Golf,Rated E For Everyone,,
Broken Sword: Shadow of the Templars,3/24/2009,Revolution Software,Ubisoft,Point-and-Click,Rated T For Teen,8.9,15
Mechanic Master,10/21/2008,Most Wanted Entertainment,Midway,Puzzle,Rated E For Everyone,,
Gel: Set & Match,5/20/2009,Gastronaut Studios,Gastronaut Studios,Action Puzzle,Rated E For Everyone,,
Grow Up,8/16/2016,Ubisoft Reflections,Ubisoft,Open-World Action,Rated E For Everyone,6.6,37
God of War: Chains of Olympus,3/4/2008,Ready at Dawn,SCEA,Linear Action Adventure,Rated M For Mature,8.6,1047
Aliens vs. Predator: Requiem,11/13/2007,Rebellion,Sierra Entertainment,Action Adventure,Rated T For Teen,8.5,80
Ratchet & Clank,11/4/2002,Insomniac Games,SCEA,3D Platformer,Rated T For Teen,8.8,520
Age of Empires: Mythologies,11/24/2008,Griptonite Games,THQ,Turn-Based Tactics,Rated E +10 For Everyone +10,7.8,43
Republic: The Revolution,8/27/2003,Elixir Studios,Eidos Interactive,Real-Time Strategy,Rated T For Teen,6,11
BAFL: Brakes Are For Losers,4/19/2018,Oudidon,Oudidon,Auto Racing,Rated E For Everyone,,
Grand Prix Challenge,3/3/2003,Melbourne House,Infogrames,Auto Racing Sim,Rated E For Everyone,,
Vanishing Point,1/3/2001,Clockwork Games,Acclaim,Auto Racing,Rated E For Everyone,8.2,11
Gungrave,9/16/2002,RED Entertainment,Sega,Third Person Shooter,Rated M For Mature,7.7,24
Guild Wars 2: End of Dragons,2/28/2022,ArenaNet,NCSOFT,MMORPG,Rated T For Teen,7.4,120
Star Wars: Jedi Starfighter,3/10/2002,LucasArts,LucasArts,Space Combat Sim,Rated T For Teen,8.5,23
Crusader Kings II: The Old Gods,5/28/2013,Paradox Development Studio,Paradox Interactive,Real-Time Strategy,,8.6,187
WWE Crush Hour,3/17/2003,Pacific Coast Power & Light,THQ,Vehicle Combat Sim,Rated T For Teen,,
Dead Cells,8/7/2018,Motion Twin,Motion Twin,Metroidvania,Rated T For Teen,8.4,566
Gemini: Heroes Reborn,1/18/2016,"Phosphor Games Studio, LLC","Phosphor Games Studio, LLC",Linear Action Adventure,Rated T For Teen,5.5,22
Pro Evolution Soccer 2010,11/3/2009,Konami,Konami,Soccer Sim,Rated E For Everyone,6.7,44
Hot Wheels Unleashed,9/27/2021,Milestone S.r.l,Milestone S.r.l,Auto Racing,Rated E For Everyone,7,96
King's Quest Chapter 3: Once Upon a Climb,4/26/2016,The Odd Gentlemen,Sierra Games,Adventure,Rated E +10 For Everyone +10,7.4,28
Tails: The Backbone Preludes,2/2/2023,EggNut,Raw Fury,Adventure,,,
100 Rogues,5/4/2010,Fusion Reactions,Fusion Reactions,RPG,,6.2,6
X-Blades,2/6/2009,Gaijin Entertainment,SouthPeak Games,3D Beat-'Em-Up,Rated M For Mature,5.3,13
Castlevania: Harmony of Despair,8/4/2010,Konami,Konami,Action Adventure,Rated T For Teen,7.5,36
Puzzle Restorer,2/14/2013,,,Action,,,
The Scorpion King: Rise of the Akkadian,9/11/2002,Point of View,Universal Interactive,3D Beat-'Em-Up,Rated T For Teen,,
Star Wars Galaxies: An Empire Divided,7/9/2003,Sony Online Entertainment,LucasArts,MMORPG,Rated T For Teen,6.4,43
Game & Watch Gallery 4,10/28/2002,TOSE,Nintendo,Compilation,Rated E For Everyone,7,
Tchia,3/21/2023,Awaceb,Kepler Interactive,Open-World Action,Rated T For Teen,6.7,121
Katamari Damacy REROLL,12/7/2018,Bandai Namco Games,Bandai Namco Games,Action Adventure,Rated E For Everyone,7.9,117
Showtime Championship Boxing,12/13/2007,Nikitova Games,DSI Games,Combat Sport,Rated E +10 For Everyone +10,,
The Bureau: XCOM Declassified,8/19/2013,2K Marin,2K Games,Tactical Third Person Shooter,Rated M For Mature,6.5,694
The Sims 4: Seasons,6/22/2018,Maxis,Electronic Arts,Virtual Life,Rated T For Teen,6.2,80
MechWarrior 5: Mercenaries,12/10/2019,Piranha Games,Piranha Games,Vehicle Combat Sim,,5.4,296
The Walking Dead: The Telltale Series - The Final Season,8/13/2018,Telltale Games,Telltale Games,Point-and-Click,Rated M For Mature,8,317
Midnight Club 3: DUB Edition,4/11/2005,Rockstar San Diego,Rockstar Games,Auto Racing Sim,Rated E +10 For Everyone +10,9.2,17
Dustoff Z,10/15/2020,Invictus,Zordix,Horizontal Shoot-'Em-Up,Rated T For Teen,,
Q*bert: Rebooted,2/17/2015,LOOT Entertainment,LOOT Entertainment,Arcade,Rated E For Everyone,4.7,30
The Legend of Spyro: The Eternal Night,10/2/2007,Krome Studios,Sierra Entertainment,3D Platformer,Rated E +10 For Everyone +10,6.1,61
NieR: Automata - Game of the YoRHa Edition,2/26/2019,PlatinumGames,Square Enix,Action RPG,Rated M For Mature,8.9,876
The Suicide of Rachel Foster,2/19/2020,ONEOONE GAMES,Daedalic Entertainment,First-Person Adventure,,7,95
N++,7/28/2015,Metanet Software Inc.,Metanet Software Inc.,2D Platformer,Rated E +10 For Everyone +10,6.7,69
La-Mulana,3/3/2015,Pygmy Studio,Rising Star Games,Metroidvania,Rated T For Teen,7.8,28
Mr.Ninja,3/24/2011,Ponos,Ponos,Action,,,
Naughty Bear,6/25/2010,Artificial Mind and Movement,505 Games,Action,Rated T For Teen,4.9,39
Detached,7/24/2018,Anshar Studios,Anshar Studios,Space Combat Sim,Rated T For Teen,,
