title,releasedate,developer,publisher,genres,productrating,userscore,userratingscount,id
Swing Away Golf,2000-10-25,T&E Soft,Electronic Arts,Golf,Rated E For Everyone,,,56
Counter-Strike: Source,2004-10-07,Valve Software,Valve Software,Tactical FPS,Rated M For Mature,8.2,1352,57
Super Crush K.O.,2020-01-16,Vertex Pop,Vertex Pop,2D Platformer,Rated E +10 For Everyone +10,7.8,13,58
Allegiance,2000-03-31,Microsoft Game Studios,Microsoft Game Studios,Space Combat Sim,Rated E For Everyone,7.3,18,59
Harry Potter and the Prisoner of Azkaban,2004-06-02,EA Games,EA Games,Action Adventure,Rated E For Everyone,8,62,60
World of Final Fantasy,2016-10-25,Square Enix,Square Enix,JRPG,Rated E +10 For Everyone +10,7.6,411,61
Star Wars: Bounty Hunter,2002-11-19,LucasArts,LucasArts,Third Person Shooter,Rated T For Teen,7.8,43,62
Half-Life,1998-11-19,Valve Software,Sierra Entertainment,FPS,Rated M For Mature,9.1,4847,63
Vader Immortal: Episode I,2019-05-21,ILMxLab,Disney Interactive Studios,First-Person Adventure,,7,14,64
Pool Panic,2018-07-19,Rekim,Adult Swim,Action Adventure,Rated E +10 For Everyone +10,7,14,65
The Scourge Project: Episodes 1 and 2,2010-04-09,Tragnarion Studios,BITBOX S.L.,FPS,,3.5,17,66
Bejeweled Twist,2008-10-27,PopCap,PopCap,Matching Puzzle,Rated E For Everyone,7.7,14,67
Jak II,2003-10-14,Naughty Dog,SCEA,3D Platformer,Rated T For Teen,8.4,454,68
Senran Kagura Reflexions,2018-09-13,Honey Parade Games,XSEED Games,Adventure,Rated M For Mature,7.7,49,69
World War II Online: Blitzkrieg,2001-06-04,Cornered Rat,Strategy First,FPS,Rated T For Teen,,,70
Arena of Valor,2018-09-25,TiMi Studios,Tencent,MOBA,,6.7,60,71
MLB 2006,2005-03-08,989 Sports,SCEA,Baseball Sim,Rated E For Everyone,,,72
Majesty 2: Kingmaker,2010-03-26,1C Entertainment,Paradox Interactive,Strategy,Rated T For Teen,7.3,10,73
Bird Mania 3D,2012-05-03,Teyon,Teyon,Arcade,Rated E For Everyone,6.2,19,74
Heavy Fire: Red Shadow,2018-10-16,Mastiff,Mastiff,FPS,Rated T For Teen,4.3,10,75
