title,releasedate,developer,publisher,genres,productrating,userscore,userratingscount,id
Axel & Pixel,2009-10-14,Silver Wish Games,2K Play,Adventure,Rated E For Everyone,6.2,6,3721
Northland,2004-03-24,Funatics,GMX Media,Real-Time Strategy,Rated T For Teen,8.5,17,3722
Quantum Redshift,2002-09-16,Curly Monsters,Microsoft Game Studios,Future Racing,Rated T For Teen,7.7,10,3723
Onimusha Tactics,2003-11-11,Capcom,Capcom,Turn-Based Tactics,Rated T For Teen,7.7,10,3724
Splashdown: Rides Gone Wild,2003-08-05,Rainbow Studios,THQ,Arcade Racing,Rated E For Everyone,6.2,10,3725
The Elder Scrolls III: Morrowind,2002-06-06,Bethesda Softworks,Bethesda Softworks,Western RPG,Rated T For Teen,8.5,151,3726
The Guest (2016),2016-03-10,Team Gotham,505 Games,First-Person Adventure,Rated M For Mature,6.8,30,3727
Phantom Doctrine,2018-08-14,CreativeForge Games,Good Shepherd Entertainment,Turn-Based Strategy,Rated M For Mature,7.4,128,3728
Victoria II,2010-08-13,Paradox Development Studio,Paradox Interactive,Real-Time Strategy,Rated T For Teen,8.3,231,3729
De Mambo,2017-07-13,The Dangerous Kitchen,Chorus Worldwide,2D Platformer,Rated E For Everyone,6.7,10,3730
Jak and Daxter: The Precursor Legacy,2001-12-04,Naughty Dog,SCEA,3D Platformer,Rated E For Everyone,8.9,608,3731
Crysis Remastered Trilogy,2021-10-15,Crytek,Crytek,Compilation,Rated M For Mature,8.4,71,3732
Resonance (2012),2012-06-19,xii games,Wadjet Eye Games,Point-and-Click,,7.7,112,3733
Dead or Alive 6,2019-03-01,Team Ninja,Koei Tecmo Games,3D Fighting,Rated M For Mature,8,786,3734
Clea 2,2021-03-25,Sekai Games,Sekai Project,Survival,Rated T For Teen,,,3735
Seasons After Fall,2016-09-02,Swing Swing Submarine,Focus Home Interactive,Metroidvania,,7,42,3736
Uncharted: The Lost Legacy,2017-08-22,Naughty Dog,Sony Interactive Entertainment,Action Adventure,Rated T For Teen,8,2533,3737
Starpoint Gemini,2010-12-15,Little Green Men,Little Green Men,Real-Time Strategy,,8.4,71,3738
Steel Diver,2011-03-27,Nintendo,Nintendo,Marine Combat Sim,Rated E +10 For Everyone +10,6.2,35,3739
Metal Gear Online,2008-06-12,Kojima Productions,Konami,Action Adventure,Rated M For Mature,8.4,29,3740
Dwarf Fortress,2006-08-08,Bay 12 Games,Bay 12 Games,Management,,8.5,254,3741
Ape Escape,1999-06-23,SCE Japan Studio,SCEA,3D Platformer,Rated E For Everyone,8.5,116,3742
All-Star Baseball 2003,2002-02-25,Acclaim Studios Austin,Acclaim,Baseball Sim,Rated E For Everyone,7.3,,3743
Ghost Trick: Phantom Detective,2011-01-11,Capcom,Capcom,Adventure,Rated T For Teen,9.6,1695,3744
Asphalt 8: Airborne,2013-08-22,Gameloft,Gameloft,Auto Racing,,7.5,179,3745
God of War (2005),2005-03-22,SCE Santa Monica,SCEA,Linear Action Adventure,Rated M For Mature,8.9,2472,3746
"Warhammer 40,000: Kill Team",2011-07-13,THQ Warrington,THQ,Third Person Shooter,Rated T For Teen,7,35,3747
Age of Empires III: The WarChiefs,2006-10-17,Ensemble Studios,Microsoft Game Studios,Command RTS,Rated T For Teen,7.9,89,3748
Quantum Break,2016-04-05,Remedy Entertainment,Microsoft Game Studios,Action,Rated M For Mature,7.3,2315,3749
Pangya Fantasy Golf,2009-06-23,Ntreev Soft,Tomy Corporation,Golf,Rated E +10 For Everyone +10,6.9,17,3750
Shenmue III,2019-11-19,Ys Net,Deep Silver,Open-World Action,Rated T For Teen,7.7,1119,3751
Utawarerumono: Mask of Truth,2017-09-05,Aqua Plus,Aqua Plus,Turn-Based Strategy,Rated M For Mature,8.9,63,3752
Blitz: The League II,2008-10-13,Midway,Midway,Football,Rated M For Mature,8.6,12,3753
Tadpole Treble Encore,2021-01-21,BitFinity,BitFinity,Rhythm,Rated E For Everyone,7.8,6,3754
Dance Dance Revolution Universe,2007-02-27,Konami,Konami,Dancing,Rated E +10 For Everyone +10,,,3755
League of Legends,2009-10-27,Riot Games,Riot Games,MOBA,Rated T For Teen,4.8,4869,3756
Gangstar Vegas,2013-06-07,,,Action,,6.7,20,3757
Star Wars Battlefront: Renegade Squadron,2007-10-09,Rebellion,LucasArts,Third Person Shooter,Rated T For Teen,8.3,67,3758
The Talos Principle: Deluxe Edition,2015-10-13,Croteam,Nighthawk Interactive,First-Person Adventure,Rated T For Teen,8.3,277,3759
Splatoon,2015-05-29,Nintendo,Nintendo,Third Person Shooter,Rated E +10 For Everyone +10,8.7,1446,3760
F1 2002,2002-06-11,EA Sports,EA Sports,Auto Racing Sim,Rated E For Everyone,7.4,37,3761
The Sims: Vacation,2002-03-25,Maxis,EA Games,Virtual Life,Rated T For Teen,7.7,23,3762
Implosion - Never Lose Hope,2017-07-06,Rayark Inc.,Flyhigh Works,Top-Down Shoot-'Em-Up,Rated T For Teen,7.9,42,3763
2K DRIVE,2013-09-05,2K Sports,2K Sports,Auto Racing Sim,,,,3764
Gish,2004-09-17,Chronic Logic,GarageGames,2D Platformer,Rated T For Teen,6.3,45,3765
Bang Bang Racing,2012-06-06,Digital Reality,Digital Reality,Auto Racing,Rated E For Everyone,6.1,10,3766
Izuna: Legend of the Unemployed Ninja,2007-02-20,Ninja Studio,Atlus,Roguelike,Rated E +10 For Everyone +10,8.4,12,3767
Battle Realms: Winter of the Wolf,2002-11-05,Liquid Entertainment,Crave,Command RTS,Rated T For Teen,8.4,26,3768
Karaoke Revolution Party,2005-11-08,Harmonix Music Systems,Konami,Rhythm,Rated E +10 For Everyone +10,,,3769
Neverwinter Nights: Enhanced Edition,2019-12-03,Beamdog,Skybound Games,Western RPG,Rated M For Mature,3.6,20,3770
Eclipse: New Dawn for the Galaxy,2013-04-30,Big Daddy's Creations,Big Daddy's Creations,Board,,6.5,13,3771
Cleopatra: Queen of the Nile,2000-07-11,BreakAway Games,Sierra Entertainment,Management,Rated E For Everyone,7.1,14,3772
The Alliance Alive,2018-03-27,Cattle Call,Atlus,JRPG,Rated E +10 For Everyone +10,7.8,49,3773
Quantum: Recharged,2023-08-17,SneakyBox,Atari,Arcade,,,,3774
Winter Sports 2: The Next Challenge,2008-11-18,49Games,Conspiracy Entertainment,Skiing,Rated E For Everyone,,,3775
Dark Rose Valkyrie,2017-06-06,Compile Heart,Idea Factory,JRPG,Rated T For Teen,5.9,25,3776
Superbrothers: Sword & Sworcery EP,2011-03-24,Capy Games,Superbrothers,Adventure,,7.2,59,3777
ROCK BAND Reloaded,2010-12-02,Electronic Arts,Electronic Arts,Rhythm,,,,3778
Watch Dogs: Bad Blood,2014-09-30,Ubisoft Montreal,Ubisoft,Open-World Action,Rated M For Mature,7.5,98,3779
The Sacred Rings,2007-03-07,Streko-Graphics Inc.,The Adventure Company,First-Person Adventure,Rated E +10 For Everyone +10,7.3,,3780
Street Racing Syndicate,2004-08-31,Eutechnyx,Namco,Auto Racing Sim,Rated T For Teen,5,18,3781
Kirby & the Amazing Mirror,2004-10-18,Flagship,Nintendo,Metroidvania,Rated E For Everyone,8.6,93,3782
"Warhammer 40,000: Dawn of War - Winter Assault",2005-09-21,Relic Entertainment,THQ,Real-Time Strategy,Rated M For Mature,8.4,147,3783
Diablo III: Reaper of Souls,2014-03-25,Blizzard Entertainment,Blizzard Entertainment,Action RPG,Rated M For Mature,6.6,1783,3784
The Keep,2014-09-11,Cinemax,Cinemax,Western RPG,Rated T For Teen,7.6,24,3785
Phantasy Star Online Episode III: C.A.R.D. Revolution,2004-03-02,Sonic Team,Sega,Card Battle,Rated T For Teen,7.5,12,3786
BCT Commander,2002-02-23,ProSim,Shrapnel Games,Real-Time Strategy,,,,3787
Need for Speed: Most Wanted,2012-10-30,Criterion Games,Electronic Arts,Auto Racing Sim,Rated E +10 For Everyone +10,5.7,349,3788
Bubble Bobble Neo!,2009-05-25,Taito Corporation,Square Enix,2D Platformer,Rated E For Everyone,5.3,,3789
WWF Royal Rumble,2000-08-01,Yuke's,THQ,Wrestling,Rated T For Teen,6.9,8,3790
Wayward Souls,2014-04-24,Rocketcat Games,Rocketcat Games,Action Adventure,,7.1,52,3791
Mutant Storm Empire,2007-10-31,PomPom Games,PomPom Games,Top-Down Shoot-'Em-Up,Rated E +10 For Everyone +10,,,3792
Painkiller: Hell & Damnation,2012-10-31,The Farm 51,Nordic Games Publishing,FPS,Rated M For Mature,6.5,196,3793
Motocross Madness (2013),2013-04-10,Bongfish,Microsoft Game Studios,Auto Racing,Rated E +10 For Everyone +10,7.8,74,3794
Sword of the Stars: The Pit,2013-02-22,Kerberos Productions,Kerberos Productions,Roguelike,Rated T For Teen,7.7,98,3795
The Shapeshifting Detective,2018-11-06,D'Avekki Studios Limited,Wales Interactive,Adventure,Rated T For Teen,6.2,5,3796
Touch Detective 2 1/2,2007-10-09,BeeWorks,Atlus,Adventure,Rated E For Everyone,,,3797
Harvestella,2022-11-04,Live Wire,Square Enix,Action RPG,Rated T For Teen,4.4,158,3798
Phoenix Wright: Ace Attorney Trilogy,2014-12-09,NATSUME ATARI Inc.,Capcom,Compilation,Rated T For Teen,8.6,199,3799
Zuma's Revenge!,2009-09-15,PopCap,PopCap,Action Puzzle,Rated E For Everyone,7.4,50,3800
The Sims 4: Growing Together,2023-03-16,Maxis,Electronic Arts,Virtual Life,Rated T For Teen,6.5,,3801
SimCity BuildIt,2014-12-15,Electronic Arts,Electronic Arts,Management,,4.6,62,3802
Fatal Frame II: Crimson Butterfly - Director's Cut,2004-11-01,Tecmo,Tecmo,Survival,Rated M For Mature,8.2,26,3803
Sid Meier's Civilization II,1996-02-29,MPS Labs,MicroProse,4X Strategy,,8.6,474,3804
Metrico+,2017-01-20,Digital Dreams,Digital Dreams,Action Puzzle,Rated E For Everyone,,,3805
Kirby: Triple Deluxe,2014-05-02,HAL Labs,Nintendo,2D Platformer,Rated E For Everyone,8.5,357,3806
Super Stickman Golf 2,2013-03-14,Noodlecake Studios,Noodlecake Studios,Golf,,7.2,19,3807
Mobile Suit Gundam Seed: Battle Assault,2004-08-10,Natsume,Bandai,2D Fighting,Rated T For Teen,6,8,3808
Fear Effect Sedna,2018-03-06,Sushee,Square Enix,RPG,Rated M For Mature,5.7,30,3809
Pitfall: The Lost Expedition (2004),2004-02-18,Torus Games,Activision,2D Platformer,Rated E For Everyone,,,3810
God of War: Ragnarok - Valhalla,2023-12-12,SCE Santa Monica,PlayStation Studios,Action Adventure,,8.8,364,3811
NHL 2K3,2002-11-10,Treyarch,Sega,Hockey Sim,Rated E For Everyone,,,3812
Project Wingman: Frontline 59,2020-12-01,Sector D2,Humble Games,Aircraft Combat Sim,,7.8,79,3813
World of Warcraft: Shadowlands,2020-11-23,Blizzard Entertainment,Activision,MMORPG,Rated T For Teen,2.6,2614,3814
X-COM: Enforcer,2001-04-18,MicroProse,Infogrames,Third Person Shooter,Rated T For Teen,6.4,13,3815
Beyond: Two Souls,2013-10-08,Quantic Dream,SCEA,Third-Person Adventure,Rated M For Mature,8.1,2944,3816
Gladiator Begins,2010-09-13,Goshow,Aksys Games,3D Fighting,Rated M For Mature,7.8,74,3817
SteamWorld Dig,2013-08-08,Image & Form,Image & Form,Metroidvania,Rated E +10 For Everyone +10,8,152,3818
WWE 2K15,2014-11-18,Yuke's,2K Sports,Wrestling,Rated T For Teen,5.2,188,3819
Ridge Racer,2005-03-22,Namco,Namco,Auto Racing,Rated E For Everyone,8.1,34,3820
Colin McRae Rally 2.0,2001-02-13,Codemasters,Codemasters,Auto Racing Sim,Rated E For Everyone,8.8,112,3821
Returnal,2021-04-30,Housemarque,PlayStation Studios,Third Person Shooter,Rated T For Teen,7.3,4161,3822
Anarchy Online,2001-06-26,Funcom,Fun Com,MMORPG,Rated T For Teen,7.2,34,3823
Hearthstone: Heroes of Warcraft - Goblins Vs. Gnomes,2014-12-08,Blizzard Entertainment,Blizzard Entertainment,Card Battle,,5.9,123,3824
Sprinkle Islands,2013-07-11,,,Action,,,,3825
Taiko no Tatsujin: Drum 'n' Fun!,2018-11-02,Bandai Namco Games,Bandai Namco Games,Rhythm,Rated E For Everyone,8.1,53,3826
Catherine: Full Body,2019-09-03,Studio Zero,Atlus,Survival,Rated M For Mature,8.2,253,3827
Magic Duels: Origins,2015-07-29,Stainless Games,Wizards of the Coast,Card Battle,,6.1,63,3828
Hyperdevotion Noire: Goddess Black Heart,2015-02-24,Sting,Idea Factory,Turn-Based Tactics,Rated T For Teen,7.1,41,3829
Professor Layton and the Unwound Future,2010-09-12,Level 5,Nintendo,Puzzle,Rated E +10 For Everyone +10,8.7,193,3830
Warhammer Age of Sigmar: Realms of Ruin,2023-11-17,Frontier Developments,Frontier Developments,Real-Time Strategy,Rated T For Teen,6.9,11,3831
Serious Sam 4: Planet Badass,2020-09-24,Croteam,Devolver Digital,FPS,,7.1,348,3832
Greak: Memories of Azur,2021-08-17,Navegante Entertainment,Sold Out,Metroidvania,Rated E +10 For Everyone +10,7.2,24,3833
RPG Maker 3,2005-09-21,Runtime,Agetec,JRPG,Rated E +10 For Everyone +10,,,3834
Tom Clancy's Rainbow Six 3: Black Arrow,2004-08-04,Ubisoft Montreal,Ubisoft,Tactical FPS,Rated M For Mature,,,3835
Castlevania,2004-10-25,Konami,Nintendo,2D Platformer,Rated E For Everyone,8.4,30,3836
Guilty Gear Xrd -REVELATOR-,2016-06-07,Arc System Works,Aksys Games,2D Fighting,Rated T For Teen,8.1,147,3837
Freestyle Motocross: McGrath Vs. Pastrana,2000-11-02,"Z-Axis, Ltd.",Acclaim,Arcade Racing,Rated E For Everyone,,,3838
The Walking Dead: Michonne - Episode 2: Give No Shelter,2016-03-29,Telltale Games,Telltale Games,Third-Person Adventure,,6.3,73,3839
Mat Hoffman's Pro BMX,2001-05-14,Shaba Games,Activision,Biking,Rated E For Everyone,7.8,16,3840
Midtown Madness 3,2003-06-17,Digital Illusions,Microsoft Game Studios,Auto Racing,Rated E For Everyone,8.1,18,3841
Stranger (2007),2008-03-26,Fireglow,cdv Software,Real-Time Strategy,Rated T For Teen,,,3842
Necrobarista: Final Pour,2021-08-11,Coconut Island Games,Playism,Visual Novel,Rated T For Teen,9,6,3843
Flying Hamster,2011-01-06,The Game Atelier,The Game Atelier,Horizontal Shoot-'Em-Up,,,,3844
Uru: Ages Beyond Myst,2003-11-11,Cyan Worlds,Ubisoft,First-Person Adventure,Rated E For Everyone,7,21,3845
The Council - Episode 3: Ripples,2018-07-24,Big Bad Wolf,Focus Home Interactive,Adventure,,7,12,3846
TERA,2012-05-01,Bluehole Studio,En Masse Entertainment,MMORPG,Rated M For Mature,6.8,801,3847
Tales of Monkey Island Chapter 1: Launch of the Screaming Narwhal,2009-07-07,Telltale Games,Telltale Games,Third-Person Adventure,Rated E +10 For Everyone +10,7,47,3848
Red Faction: Armageddon,2011-06-07,Volition Inc.,THQ,Third Person Shooter,Rated M For Mature,7,95,3849
Disney/Pixar Cars,2006-06-06,Rainbow Studios,THQ,Auto Racing,Rated E For Everyone,8.5,53,3850
Oceanhorn: Monster of Uncharted Seas,2013-11-14,FDG Entertainment,FDG Entertainment,Open-World Action,,7.8,68,3851
Between Me and The Night,2016-01-22,RainDance LX,Lace Games,Action Adventure,,5.6,11,3852
City Life,2006-06-02,Monte Cristo,cdv Software,Management,Rated E For Everyone,6.9,14,3853
Monster Lab,2008-11-04,Backbone Entertainment,Eidos Interactive,RPG,Rated E +10 For Everyone +10,7.6,10,3854
Yakuza 5 Remastered,2020-02-11,Ryu ga Gotoku Studios,Sega,Open-World Action,Rated M For Mature,8,130,3855
Strike Vector EX,2016-08-30,Ragequit Corporation,Ragequit Corporation,FPS,Rated M For Mature,7,20,3856
Iron Brigade,2011-06-22,Double Fine Productions,Microsoft Game Studios,Defense,Rated T For Teen,8.4,91,3857
ESPN Major League Baseball,2004-04-06,Blue Shift,Sega,Baseball Sim,Rated E For Everyone,,,3858
Tales of Symphonia Chronicles,2014-02-25,Bandai Namco Games,Namco Bandai Games,Compilation,Rated T For Teen,8.3,188,3859
Baldur's Gate and Baldur's Gate II: Enhanced Editions,2019-10-15,Beamdog,Skybound Games,Compilation,Rated T For Teen,6.7,35,3860
Divinity: Original Sin Enhanced Edition,2015-10-27,Larian Studios Games,Focus Home Interactive,Western RPG,Rated M For Mature,8,634,3861
Railworks 3: Train Simulator 2012,2011-09-23,RailSimulator.com,RailSimulator.com,Train Sim,Rated E For Everyone,6.8,51,3862
Kung-Fu Live,2010-12-07,Virtual Air Guitar Company,Virtual Air Guitar Company,3D Fighting,Rated T For Teen,6.5,11,3863
Puyo Puyo Tsuu,2020-02-20,M2,Sega,Matching Puzzle,Rated E For Everyone,7.8,,3864
Hasbro Family Game Night: Sorry! Sliders,2009-03-18,Electronic Arts,Electronic Arts,Board,Rated E For Everyone,,,3865
Save me Mr Tako: Definitive Edition,2021-05-05,Christophe Galati,Limited Run Games,2D Platformer,Rated E For Everyone,5.5,6,3866
SingStar Queen,2009-08-04,SCEE,SCEA,Rhythm,Rated T For Teen,4.3,,3867
Blair Witch Volume I: Rustin Parr,2000-10-04,Terminal Reality,Gathering,Survival,Rated M For Mature,7.1,20,3868
Disney Magical World 2,2016-10-14,h.a.n.d. Inc.,Nintendo,Virtual Life,Rated E For Everyone,5.5,8,3869
Lara Croft and the Temple of Osiris,2014-12-09,Nixxes Software,Square Enix,Linear Action Adventure,Rated T For Teen,6.6,182,3870
I Was a Teenage Exocolonist,2022-08-25,Northway Games,Finji,Card Battle,,7.9,37,3871
Skate 3,2010-05-11,EA Black Box,Electronic Arts,Skating,Rated T For Teen,8.5,204,3872
Detroit: Become Human,2018-05-25,Quantic Dream,Sony Interactive Entertainment,Third-Person Adventure,Rated M For Mature,8.8,6774,3873
Digimon World DS,2006-11-07,Bec,Namco Bandai Games,Trainer RPG,Rated E +10 For Everyone +10,7.6,50,3874
Darkness Within: In Pursuit of Loath Nolder,2007-11-06,Zoetrope Interactive,Lighthouse Interactive,Adventure,Rated T For Teen,7.1,21,3875
Disney's The Emperor's New Groove,2000-11-13,Argonaut Games,SCEA,3D Platformer,Rated E For Everyone,7.6,8,3876
NFL Blitz 2001,2000-09-14,Avalanche Software,Midway,Football,Rated E For Everyone,7.5,,3877
StarBlox Inc.,2019-10-18,IlluminationGames,IlluminationGames,Stacking Puzzle,Rated E +10 For Everyone +10,6.8,6,3878
Unison: Rebels of Rhythm & Dance,2001-03-22,Tecmo,Tecmo,Dancing,Rated E For Everyone,,,3879
Heroes of Might and Magic: Quest for the Dragon Bone Staff,2001-04-17,New World Computing,3DO,Turn-Based Strategy,Rated E For Everyone,6,9,3880
Incredible Crisis,2000-11-06,Polygon Magic,Titus Software,Action,Rated T For Teen,7.6,16,3881
"Wallace & Gromit's Grand Adventures, Episode 4: The Bogey Man",2009-07-30,Telltale Games,Telltale Games,Compilation,Rated E For Everyone,7.4,8,3882
Hitman: Contracts,2004-04-20,Io Interactive,Eidos Interactive,Third Person Shooter,Rated M For Mature,8.4,25,3883
Anarchy Reigns,2013-01-08,PlatinumGames,Sega,3D Beat-'Em-Up,Rated M For Mature,8,120,3884
WinBack 2: Project Poseidon,2006-04-25,Cavia Inc.,Koei,Third Person Shooter,Rated T For Teen,,,3885
Infini,2020-07-03,Barnaque,Nakana.io,Adventure,Rated T For Teen,8.6,12,3886
Coded Arms,2005-07-06,Konami,Konami,FPS,Rated T For Teen,6.6,17,3887
Hard West 2,2022-08-04,Ice Code Games,Good Shepherd Entertainment,Turn-Based Tactics,,7.4,35,3888
Heave Ho,2019-08-29,Le Cartel Studio,Devolver Digital,Party,Rated E +10 For Everyone +10,8.2,20,3889
MicroBot,2010-12-29,Naked Sky Entertainment,Electronic Arts,Top-Down Shoot-'Em-Up,Rated E For Everyone,7,10,3890
Splatterhouse,2010-11-23,Namco Bandai Games,Namco Bandai Games,3D Beat-'Em-Up,Rated M For Mature,7.7,83,3891
Forget-Me-Not,2011-03-22,Nyarlu Labs,Nyarlu Labs,Action,,6.2,6,3892
Toast Time,2014-02-06,Force Of Habit,Force Of Habit,Action,,,,3893
"You, Me, and the Cubes",2009-09-21,fyto,Nintendo,Action Puzzle,Rated E For Everyone,,,3894
Planescape: Torment - Enhanced Edition,2017-04-11,Beamdog,Beamdog,Western RPG,Rated T For Teen,7.5,143,3895
L.A. Noire: The VR Case Files,2017-11-14,Rockstar Games,Rockstar Games,First-Person Adventure,Rated M For Mature,6,29,3896
Pokken Tournament DX,2017-09-22,Bandai Namco Games,Nintendo,3D Fighting,Rated E +10 For Everyone +10,7.3,298,3897
Root Beer Tapper,2007-02-07,Digital Eclipse,Midway,Arcade,Rated E For Everyone,6.3,,3898
Front Mission 2 Remake,2023-10-05,Forever Entertainment,Forever Entertainment,Turn-Based Tactics,Rated T For Teen,6.7,15,3899
Duck Game,2019-05-01,Landon Podbielski,Adult Swim,2D Platformer,Rated E +10 For Everyone +10,8.1,38,3900
Football Manager 2021,2020-11-24,Sports Interactive,Sega,Soccer Management,Rated E For Everyone,6.4,98,3901
NBA Street,2001-06-18,NuFX,EA Sports Big,Basketball,Rated E For Everyone,7.9,36,3902
Drakengard 2,2006-02-14,Cavia Inc.,Ubisoft,Action RPG,Rated M For Mature,6.6,58,3903
Mafia II,2010-08-24,2K Czech,2K Games,Open-World Action,Rated M For Mature,8.1,831,3904
Vigor,2019-08-19,Bohemia Interactive,Bohemia Interactive,Survival,Rated T For Teen,7,73,3905
Jurassic Park: Operation Genesis,2003-03-26,Blue Tongue Entertainment,Universal Interactive,Tycoon,Rated T For Teen,8.2,20,3906
Bulletstorm,2011-02-22,People Can Fly,Electronic Arts,FPS,Rated M For Mature,7.7,492,3907
Jumper: Griffin's Story,2008-02-12,Red Tribe,Brash Entertainment,3D Fighting,Rated T For Teen,2.5,13,3908
The Making of Karateka,2023-08-29,Digital Eclipse,Digital Eclipse,Miscellaneous,,7,8,3909
APB,2010-06-29,Realtime Worlds,Electronic Arts,MMORPG,Rated M For Mature,4.3,81,3910
Dead or Alive 4,2005-12-29,Team Ninja,Tecmo,3D Fighting,Rated M For Mature,8,119,3911
Hunt: Showdown,2020-02-18,Crytek,Deep Silver,Tactical FPS,Rated M For Mature,7,214,3912
Whispers of a Machine,2019-04-17,Clifftop Games,Raw Fury,Point-and-Click,,7.6,57,3913
The Coma 2: Vicious Sisters,2020-09-04,Devespresso Games,Headup Games,Survival,Rated T For Teen,8.8,,3914
Tom Clancy's Rainbow Six 3: Raven Shield,2003-03-19,Ubisoft Montreal,Ubisoft,Tactical FPS,Rated M For Mature,8.1,70,3915
Delta Force: Land Warrior,2000-11-07,NovaLogic,NovaLogic,Tactical FPS,Rated T For Teen,7.1,50,3916
Razor: Salvation,2012-05-29,Crescent Moon Games,Crescent Moon Games,Action,,,,3917
Blood & Truth,2019-05-28,SCEE London Studio,Sony Interactive Entertainment,Light Gun,Rated M For Mature,8,263,3918
Company of Heroes: Opposing Fronts,2007-09-24,Relic Entertainment,THQ,Real-Time Strategy,Rated M For Mature,8.3,164,3919
Splatterhouse (1989),2010-11-18,Namco Networks America,Namco Networks America,2D Beat-'Em-Up,,,,3920
Hyper Breaker Turbo,2013-05-23,,,Miscellaneous,,,,3921
Zombie Apocalypse: Never Die Alone,2011-10-26,Backbone Entertainment,Konami,Top-Down Shoot-'Em-Up,Rated M For Mature,5.3,8,3922
Grand Theft Auto: San Andreas,2004-10-26,Rockstar North,Rockstar Games,Open-World Action,Rated M For Mature,9.2,3467,3923
Just Dance 2022,2021-11-04,Ubisoft,Ubisoft,Dancing,Rated E +10 For Everyone +10,5.4,19,3924
Orwell,2016-10-27,Osmotic Studios,Fellow Traveller,Point-and-Click,Rated M For Mature,7.3,149,3925
Lemmings (2006),2006-05-23,Team17,SCEA,Action Puzzle,Rated E For Everyone,7.5,13,3926
Shaman King: Power of Spirit,2004-11-09,WinkySoft,Konami,Action Adventure,Rated T For Teen,5.9,7,3927
Death's Door,2021-07-20,Acid Nerve,Devolver Digital,Action Adventure,,8.1,309,3928
imprint-X,2017-01-26,Morgondag,Morgondag,Action Puzzle,,,,3929
Life is Strange 2: Episode 5 - Wolves,2019-12-03,DONTNOD Entertainment,Square Enix,Third-Person Adventure,Rated M For Mature,6.3,56,3930
Major Mayhem,2011-10-21,Rocket Jump,Adult Swim,Light Gun,,8.5,,3931
City Crisis,2001-07-17,Syscom,Take-Two Interactive,Aircraft Sim,Rated E For Everyone,,,3932
Giana Sisters: Twisted Dreams - Owltimate Edition,2018-09-25,Black Forest Games,THQ Nordic,2D Platformer,Rated E For Everyone,7.6,16,3933
Paradise Killer,2020-09-04,Kaizen Game Works,Fellow Traveller,Visual Novel,,7.7,35,3934
Bushido Blade,1997-09-30,Light Weight,SCEA,3D Fighting,Rated T For Teen,7.9,35,3935
Need for Speed: Hot Pursuit Remastered,2020-11-06,Criterion Games,Electronic Arts,Auto Racing,Rated E +10 For Everyone +10,5.5,156,3936
Underground (2015),2015-04-02,Grendel Games,Grendel Games,Action,Rated E +10 For Everyone +10,7.6,8,3937
Pokemon Sword / Shield Dual Pack,2019-11-15,Game Freak,Nintendo,Trainer RPG,Rated E For Everyone,4.4,408,3938
Pokemon Masters EX,2019-08-29,"DeNA Co., Ltd.","DeNA Co., Ltd.",Trainer RPG,,5.8,53,3939
The Legend of Zelda: Link's Awakening,2019-09-20,GREZZO,Nintendo,Open-World Action,Rated E For Everyone,8.4,1813,3940
Cathedral (2019),2021-02-18,Decemberborn Interactive,Decemberborn Interactive,Metroidvania,Rated E +10 For Everyone +10,6.9,10,3941
Senran Kagura: Bon Appetit!,2014-11-11,Meteorise,XSEED Games,Rhythm,Rated M For Mature,7.2,43,3942
Star Wars: Jedi Power Battles,2001-12-04,HotGen,THQ,2D Beat-'Em-Up,Rated T For Teen,4.8,,3943
Lumines: Electronic Symphony,2012-02-15,Q Entertainment,Ubisoft,Matching Puzzle,Rated E For Everyone,7.9,91,3944
Wolfenstein II: The New Colossus,2017-10-27,MachineGames,Bethesda Softworks,FPS,Rated M For Mature,7.5,1705,3945
Age of Wonders II: The Wizard's Throne,2002-06-12,Triumph Studios,Gathering,Turn-Based Strategy,Rated T For Teen,8.6,98,3946
Persona 5,2017-04-04,Atlus,Atlus,JRPG,Rated M For Mature,8.7,5674,3947
Combat Mission 3: Afrika Korps,2003-12-03,Big Time Software,Battlefront.com,Real-Time Strategy,Rated T For Teen,7.9,16,3948
One Piece: Unlimited World Red,2014-07-08,Ganbarion,Bandai Namco Games,Action Adventure,Rated T For Teen,6.9,54,3949
Tekken 6,2009-10-27,Namco Bandai Games,Namco Bandai Games,3D Fighting,Rated T For Teen,7.5,240,3950
City of Villains,2005-10-31,Paragon Studios,NCSOFT,MMORPG,Rated T For Teen,7.1,11,3951
Gravity Crash Ultra,2014-08-12,Just Add Water,Just Add Water,Top-Down Shoot-'Em-Up,Rated E For Everyone,7.1,11,3952
Super Runabout: San Francisco Edition,2000-10-24,Climax Entertainment,Interplay,Auto Racing,Rated T For Teen,7.3,6,3953
Guardian Heroes,2011-10-12,Treasure,Sega,Action RPG,Rated T For Teen,8.3,32,3954
Naruto Shippuden: Ultimate Ninja Storm 4 - Road to Boruto,2020-04-24,CyberConnect2,Bandai Namco Games,3D Fighting,Rated T For Teen,7.8,44,3955
Dragonriders: Chronicles of Pern,2001-08-13,Ubisoft,Red Storm Entertainment,RPG,Rated T For Teen,5.8,,3956
They Always Run,2021-10-20,Alawar Premium,Alawar Premium,2D Platformer,Rated T For Teen,7.1,15,3957
One Piece: Grand Adventure,2006-08-29,Ganbarion,Namco Bandai Games,3D Fighting,Rated T For Teen,8.2,16,3958
GORN,2020-05-19,Free Lives,Devolver Digital,3D Beat-'Em-Up,Rated M For Mature,5.4,13,3959
